"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"t3.title","Table 3a. HIV-HIV Sorting - Main Partners","","","","","","","",""
"t3.colname.a","","","","Partners","","","","",""
"t3.colname.b","","Total, dyad-level","","HIV negative","","HIV positive","","HIV unknown",""
"t3.colname.c","Respondents","N","Column %","N","Row %","N","Row %","N","Row %"
"","Whole Sample","","","","","","","",""
"","Negative","1637","76","1459","89.1","86","5.3","92","5.6"
"","Positive","211","9.8","112","53.1","84","39.8","15","7.1"
"","Unknown","307","14.2","197","64.2","10","3.3","100","32.6"
"","Total","2155","100","1768","82","180","8.4","207","9.6"
"","Complete-case","","","","","","","",""
"","Negative","1545","88.7","1459","94.4","86","5.6","",""
"","Positive","196","11.3","112","57.1","84","42.9","",""
"","Total","1741","100","1571","90.2","170","9.8","",""
"","Reclassification","","","","","","","",""
"","Negative/Unknown","1944","90.2","","","","","",""
"","Median","","","1824","93.8","120","6.2","",""
"","95% interval","","","(1800, 1847)","(92.6, 95)","(97, 144)","(5, 7.4)","",""
"","Positive","211","9.8","","","","","",""
"","Median","","","115","54.5","96","45.5","",""
"","95% interval","","","(103, 127)","(48.8, 60.2)","(84, 108)","(39.8, 51.2)","",""
"","Total","2155","100","","","","","",""
"","Median","","","1939","90","216","10","",""
"","95% interval","","","(1907, 1972)","(88.5, 91.5)","(183, 248)","(8.5, 11.5)","",""
