"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"t4.title","Table 4a. HIV-PrEP Sorting - One-time Partners","","","","","","","",""
"t4.colname.a","","","","Partners","","","","",""
"t4.colname.b","","Total, dyad-level","","No PrEP","","PrEP","","PrEP unknown",""
"t4.colname.c","Respondents","N","Column %","N","Row %","N","Row %","N","Row %"
"","Whole Sample","","","","","","","",""
"","Negative","2764","77.8","454","16.4","404","14.6","1906","69"
"","Positive","292","8.2","34","11.6","38","13","220","75.3"
"","Unknown","495","13.9","116","23.4","36","7.3","343","69.3"
"","Total","3551","99.9","604","17","478","13.5","2469","69.5"
"","Complete-case","","","","","","","",""
"","Negative","745","92.2","377","50.6","368","49.4","",""
"","Positive","63","7.8","28","44.4","35","55.6","",""
"","Total","808","100","405","50.1","403","49.9","",""
"","Reclassification","","","","","","","",""
"","Negative/Unknown","","","","","","","",""
"","Median","3193","92.8","2558","80","638","20","",""
"","95% interval","(3143, 3246)","(92, 93.6)","(2351, 2891)","(73.7, 90.9)","(292, 841)","(9.1, 26.3)","",""
"","Positive","","","","","","","",""
"","Median","246","7.2","192","77.4","55","22.6","",""
"","95% interval","(214, 283)","(6.4, 8)","(158, 233)","(69, 89.2)","(26, 79)","(10.8, 31)","",""
"","Total","","","","","","","",""
"","Median","3437","100","2744","79.9","692","20.1","",""
"","95% interval","(3365, 3529)","(1, 1)","(2532, 3110)","(73.6, 90.8)","(318, 908)","(9.2, 26.4)","",""
