"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"t5.title","Table 5a. HIV-PrEP Sorting - Casual Partners","","","","","","","",""
"t5.colname.a","","","","Partners","","","","",""
"t5.colname.b","","Total, dyad-level","","No PrEP","","PrEP","","PrEP unknown",""
"t5.colname.c","Respondents","N","Column %","N","Row %","N","Row %","N","Row %"
"","Whole Sample","","","","","","","",""
"","No PrEP","2024","68.5","778","38.4","265","13.1","981","48.5"
"","PrEP","929","31.5","228","24.5","291","31.3","410","44.1"
"","Total","2953","100","1006","34.1","556","18.8","1391","47.1"
"","Complete-case","","","","","","","",""
"","No PrEP","951","66.3","692","72.8","259","27.2","",""
"","PrEP","484","33.7","203","41.9","281","58.1","",""
"","Total","1435","100","895","62.4","540","37.6","",""
"","Reclassification","","","","","","","",""
"","No PrEP","","","","","","","",""
"","Median","2396","72.7","2008","83.7","391","16.3","",""
"","95% interval","(2371, 2422)","(72.4, 73.2)","(1932, 2154)","(80.6, 89.5)","(252, 464)","(10.5, 19.4)","",""
"","PrEP","","","","","","","",""
"","Median","899","27.3","571","63.4","328","36.6","",""
"","95% interval","(872, 924)","(26.8, 27.6)","(520, 704)","(58.8, 79)","(187, 371)","(21, 41.2)","",""
"","Total","","","","","","","",""
"","Median","3298","100","2579","78.2","720","21.8","",""
"","95% interval","(3248, 3345)","(1, 1)","(2459, 2860)","(74.7, 86.5)","(445, 834)","(13.5, 25.3)","",""
