"","AMIS_ID","city2","ptype","hiv3","prep.during.ego2","race.cat","age.cat","p_hiv","prep.during.part2","p_race.cat","p_age.cat_imp"
"AMIS_ID",16198,16198,16198,14265,11415,16198,16198,11193,6630,15251,16198
"city2",16198,16198,16198,14265,11415,16198,16198,11193,6630,15251,16198
"ptype",16198,16198,16198,14265,11415,16198,16198,11193,6630,15251,16198
"hiv3",14265,14265,14265,14265,11405,14265,14265,10132,5858,13447,14265
"prep.during.ego2",11415,11415,11415,11405,11415,11415,11415,8241,4886,10792,11415
"race.cat",16198,16198,16198,14265,11415,16198,16198,11193,6630,15251,16198
"age.cat",16198,16198,16198,14265,11415,16198,16198,11193,6630,15251,16198
"p_hiv",11193,11193,11193,10132,8241,11193,11193,11193,5839,10869,11193
"prep.during.part2",6630,6630,6630,5858,4886,6630,6630,5839,6630,6512,6630
"p_race.cat",15251,15251,15251,13447,10792,15251,15251,10869,6512,15251,15251
"p_age.cat_imp",16198,16198,16198,14265,11415,16198,16198,11193,6630,15251,16198
