"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"t2.title","Table S1a. Main: HIV and PrEP mixing including unknown values","","","","","","","",""
"t2.colname.a","","","","Partners","","","","",""
"t2.colname.b","","Total, Partnership-level","","HIV negative","","HIV positive","","HIV unknown",""
"t2.colname.c","Respondents","N","Column %","N","Row %","N","Row %","N","Row %"
"","All egos and partners","","","","","","","",""
"","Negative","1637","76","1459","89.1","86","5.3","92","5.6"
"","Positive","211","9.8","112","53.1","84","39.8","15","7.1"
"","Unknown","307","14.2","197","64.2","10","3.3","100","32.6"
"","Total","2155","100","1768","82","180","8.4","207","9.6"
"t2.colname.d","","Total, partnership-level","","No PrEP","","PrEP","","PrEP unknown",""
"t2.colname.e","Respondents","N","Column %","N","Row %","N","Row %","N","Row %"
"","All egos, partners are HIV negative or unknown","","","","","","","",""
"","Negative","1551","78.5","1181","76.1","227","14.6","143","9.2"
"","Positive","127","6.4","58","45.7","51","40.2","18","14.2"
"","Unknown","297","15","237","79.8","12","4","48","16.2"
"","Total","1975","99.9","1476","74.7","290","14.7","209","10.6"
"t2.colname.f","","Total, partnership-level","","No PrEP","","PrEP","","PrEP unknown",""
"t2.colname.g","Respondents","N","Column %","N","Row %","N","Row %","N","Row %"
"","Egos & Partners HIV negative or unknown","","","","","","","",""
"","No PrEP","1547","83.7","1277","82.5","105","6.8","165","10.7"
"","PrEP","301","16.3","141","46.8","134","44.5","26","8.6"
"","Total","1848","100","1418","76.7","239","12.9","191","10.3"
