"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"table2b.title","HIV Serosorting, stratified by partnership type, crude ARTnet data","","","","","","","",""
"table2b.title.main","Main Partnerships","","","Alters","","","","",""
"table2b.colnames","Egos","Total N","%","Negative n","%","Positive n","%","Unknown n","%"
"","Negative","2026","77.3873185637892","1793","88.4995064165844","109","5.38005923000987","124","6.12043435340573"
"","Positive","241","9.20550038197097","130","53.9419087136929","95","39.4190871369295","16","6.63900414937759"
"","Unknown","351","13.4071810542399","228","64.957264957265","10","2.84900284900285","113","32.1937321937322"
"","Total","2618","100","2151","82.1619556913675","214","8.17417876241406","253","9.66386554621849"
"table2b.title.casual","Casual Partnerships","","","Alters","","","","",""
"table2b.colnames","Egos","Total N","%","Negative n","%","Positive n","%","Unknown n","%"
"","Negative","4744","79.3576446972232","3600","75.885328836425","199","4.19477234401349","945","19.9198988195616"
"","Positive","661","11.0572097691536","277","41.9062027231467","175","26.4750378214826","209","31.6187594553707"
"","Unknown","573","9.58514553362328","309","53.9267015706806","11","1.91972076788831","253","44.1535776614311"
"","Total","5978","100","4186","70.0234192037471","385","6.44028103044496","1407","23.536299765808"
"table2b.title.oneoff","One-off Partnerships","","","Alters","","","","",""
"table2b.colnames","Egos","Total N","%","Negative n","%","Positive n","%","Unknown n","%"
"","Negative","6028","79.294922388845","3359","55.7232913072329","124","2.05706702057067","2545","42.2196416721964"
"","Positive","565","7.43225466982373","174","30.7964601769912","97","17.1681415929204","294","52.0353982300885"
"","Unknown","1009","13.2728229413312","491","48.6620416253717","12","1.18929633300297","506","50.1486620416254"
"","Total","7602","100","4024","52.9334385687977","233","3.06498289923704","3345","44.0015785319653"
