"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"t3.title","Table 3. HIV-HIV Sorting","","","","","","","",""
"t3.colname.a","","","","Partners","","","","",""
"t3.colname.b","","Total, dyad-level","","HIV negative","","HIV positive","","HIV unknown",""
"t3.colname.c","Respondents","N","Column %","N","Row %","N","Row %","N","Row %"
"","Whole Sample","","","","","","","",""
"","Negative","7578","76.4","5687","75","310","4.1","1581","20.9"
"","Positive","1114","11.2","460","41.3","320","28.7","334","30"
"","Unknown","1222","12.3","710","58.1","25","2","487","39.9"
"","Total","9914","99.9","6857","69.2","655","6.6","2402","24.2"
"","Complete-case","","","","","","","",""
"","Negative","5997","88.5","5687","94.8","310","5.2","",""
"","Positive","780","11.5","460","59","320","41","",""
"","Total","6777","100","6147","90.7","630","9.3","",""
"","Reclassification","","","","","","","",""
"","Negative/Unknown","8800","88.8","","","","","",""
"","Median","","","8310","94.4","490","5.6","",""
"","95% interval","","","(8207, 8434)","(93.3, 95.8)","(366, 593)","(4.2, 6.7)","",""
"","Positive","1114","11.2","","","","","",""
"","Median","","","676","60.7","438","39.3","",""
"","95% interval","","","(601, 770)","(54, 69.1)","(344, 513)","(30.9, 46)","",""
"","Total","9914","100","","","","","",""
"","Median","","","8982","90.6","932","9.4","",""
"","95% interval","","","(8812, 9204)","(88.9, 92.8)","(710, 1102)","(7.2, 11.1)","",""
