"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"t3.title","Table 3a. HIV-HIV Sorting - One-time Partners","","","","","","","",""
"t3.colname.a","","","","Partners","","","","",""
"t3.colname.b","","Total, dyad-level","","HIV negative","","HIV positive","","HIV unknown",""
"t3.colname.c","Respondents","N","Column %","N","Row %","N","Row %","N","Row %"
"","Whole Sample","","","","","","","",""
"","Negative","2835","76.5","1803","63.6","71","2.5","961","33.9"
"","Positive","369","10","129","35","77","20.9","163","44.2"
"","Unknown","502","13.5","277","55.2","7","1.4","218","43.4"
"","Total","3706","100","2209","59.6","155","4.2","1342","36.2"
"","Complete-case","","","","","","","",""
"","Negative","1874","90.1","1803","96.2","71","3.8","",""
"","Positive","206","9.9","129","62.6","77","37.4","",""
"","Total","2080","100","1932","92.9","148","7.1","",""
"","Reclassification","","","","","","","",""
"","Negative/Unknown","3337","90","","","","","",""
"","Median","","","3193","95.7","144","4.3","",""
"","95% interval","","","(3143, 3246)","(94.2, 97.3)","(91, 194)","(2.7, 5.8)","",""
"","Positive","369","10","","","","","",""
"","Median","","","246","66.7","123","33.3","",""
"","95% interval","","","(214, 283)","(58.1, 76.7)","(86, 155)","(23.3, 41.9)","",""
"","Total","3706","100","","","","","",""
"","Median","","","3437","92.7","269","7.3","",""
"","95% interval","","","(3365, 3529)","(90.8, 95.2)","(177, 341)","(4.8, 9.2)","",""
