"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"t3.title","Table 3c. HIV-HIV Sorting - One-time Partners","","","","","","","",""
"t3.colname.a","","","","Partners","","","","",""
"t3.colname.b","","Total, dyad-level","","HIV negative","","HIV positive","","HIV unknown",""
"t3.colname.c","Respondents","N","Column %","N","Row %","N","Row %","N","Row %"
"","Whole Sample","","","","","","","",""
"","Negative","2835","76.5","1803","63.6","71","2.5","961","33.9"
"","Positive","369","10","129","35","77","20.9","163","44.2"
"","Unknown","502","13.5","277","55.2","7","1.4","218","43.4"
"","Total","3706","100","2209","59.6","155","4.2","1342","36.2"
"","Complete-case","","","","","","","",""
"","Negative","1874","90.1","1803","96.2","71","3.8","",""
"","Positive","206","9.9","129","62.6","77","37.4","",""
"","Total","2080","100","1932","92.9","148","7.1","",""
"","Reclassification","","","","","","","",""
"","Negative/Unknown","3337","90","","","","","",""
"","Median","","","3154","94.5","183","5.5","",""
"","95% interval","","","(3086, 3242)","(92.5, 97.1)","(95, 251)","(2.9, 7.5)","",""
"","Positive","369","10","","","","","",""
"","Median","","","266","72.1","103","27.9","",""
"","95% interval","","","(244, 289)","(66.1, 78.2)","(80, 125)","(21.8, 33.9)","",""
"","Total","3706","100","","","","","",""
"","Median","","","3419","92.3","287","7.7","",""
"","95% interval","","","(3336, 3528)","(90, 95.2)","(178, 370)","(4.8, 10)","",""
