"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"t4.title","Table 4. HIV-PrEP Sorting","","","","","","","",""
"t4.colname.a","","","","Partners","","","","",""
"t4.colname.b","","Total, dyad-level","","No PrEP","","PrEP","","PrEP unknown",""
"t4.colname.c","Respondents","N","Column %","N","Row %","N","Row %","N","Row %"
"","Whole Sample","","","","","","","",""
"","Negative","7268","78.5","2641","36.3","1187","16.3","3440","47.3"
"","Positive","794","8.6","184","23.2","161","20.3","449","56.5"
"","Unknown","1197","12.9","495","41.4","90","7.5","612","51.1"
"","Total","9259","100","3320","35.9","1438","15.5","4501","48.6"
"","Complete-case","","","","","","","",""
"","Negative","3517","92","2383","67.8","1134","32.2","",""
"","Positive","305","8","153","50.2","152","49.8","",""
"","Total","3822","100","2536","66.4","1286","33.6","",""
"","Reclassification","","","","","","","",""
"","Negative/Unknown","","","","","","","",""
"","Median","8310","92.5","6711","80.8","1594","19.2","",""
"","95% interval","(8207, 8434)","(91.6, 93.2)","(6385, 7271)","(76.8, 87)","(1070, 1931)","(13, 23.2)","",""
"","Positive","","","","","","","",""
"","Median","676","7.5","495","72.8","184","27.2","",""
"","95% interval","(601, 770)","(6.8, 8.4)","(428, 586)","(67.5, 80.9)","(127, 229)","(19.1, 32.5)","",""
"","Total","","","","","","","",""
"","Median","8982","100","7196","80.2","1778","19.8","",""
"","95% interval","(8812, 9204)","(1, 1)","(6838, 7848)","(76.3, 86.4)","(1206, 2145)","(13.6, 23.7)","",""
