"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"t4.title","Table 4a. HIV-PrEP Sorting - Casual Partners","","","","","","","",""
"t4.colname.a","","","","Partners","","","","",""
"t4.colname.b","","Total, dyad-level","","No PrEP","","PrEP","","PrEP unknown",""
"t4.colname.c","Respondents","N","Column %","N","Row %","N","Row %","N","Row %"
"","Whole Sample","","","","","","","",""
"","Negative","2953","79.1","1006","34.1","556","18.8","1391","47.1"
"","Positive","375","10","92","24.5","72","19.2","211","56.3"
"","Unknown","405","10.8","142","35.1","42","10.4","221","54.6"
"","Total","3733","99.9","1240","33.2","670","17.9","1823","48.8"
"","Complete-case","","","","","","","",""
"","Negative","1435","91.1","895","62.4","540","37.6","",""
"","Positive","140","8.9","73","52.1","67","47.9","",""
"","Total","1575","100","968","61.5","607","38.5","",""
"","Reclassification","","","","","","","",""
"","Negative/Unknown","","","","","","","",""
"","Median","3298","91.2","2579","78.2","720","21.8","",""
"","95% interval","(3248, 3345)","(90.2, 92.1)","(2459, 2860)","(74.7, 86.5)","(445, 834)","(13.5, 25.3)","",""
"","Positive","","","","","","","",""
"","Median","317","8.8","236","74.5","81","25.5","",""
"","95% interval","(277, 364)","(7.9, 9.8)","(202, 287)","(68.5, 84.8)","(46, 102)","(15.2, 31.5)","",""
"","Total","","","","","","","",""
"","Median","3612","100","2820","77.8","801","22.2","",""
"","95% interval","(3533, 3708)","(1, 1)","(2673, 3156)","(74.4, 86.7)","(481, 929)","(13.3, 25.6)","",""
