"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"t4.title","Table 4a. HIV-PrEP Sorting - Main Partners","","","","","","","",""
"t4.colname.a","","","","Partners","","","","",""
"t4.colname.b","","Total, dyad-level","","No PrEP","","PrEP","","PrEP unknown",""
"t4.colname.c","Respondents","N","Column %","N","Row %","N","Row %","N","Row %"
"","Whole Sample","","","","","","","",""
"","Negative","1551","78.5","1181","76.1","227","14.6","143","9.2"
"","Positive","127","6.4","58","45.7","51","40.2","18","14.2"
"","Unknown","297","15","237","79.8","12","4","48","16.2"
"","Total","1975","99.9","1476","74.7","290","14.7","209","10.6"
"","Complete-case","","","","","","","",""
"","Negative","1337","92.9","1111","83.1","226","16.9","",""
"","Positive","102","7.1","52","51","50","49","",""
"","Total","1439","100","1163","80.8","276","19.2","",""
"","Reclassification","","","","","","","",""
"","Negative/Unknown","","","","","","","",""
"","Median","1824","94","1577","86.4","249","13.6","",""
"","95% interval","(1800, 1847)","(93.6, 94.6)","(1549, 1611)","(85.3, 87.8)","(223, 269)","(12.2, 14.7)","",""
"","Positive","","","","","","","",""
"","Median","115","6","66","57.5","49","42.5","",""
"","95% interval","(103, 127)","(5.4, 6.4)","(56, 79)","(52.4, 64.8)","(40, 56)","(35.2, 47.6)","",""
"","Total","","","","","","","",""
"","Median","1939","100","1643","84.6","298","15.4","",""
"","95% interval","(1907, 1972)","(1, 1)","(1608, 1685)","(83.5, 86.2)","(265, 323)","(13.8, 16.5)","",""
