"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"t4.title","Table 4a. HIV-PrEP Sorting - One-time Partners","","","","","","","",""
"t4.colname.a","","","","Partners","","","","",""
"t4.colname.b","","Total, dyad-level","","No PrEP","","PrEP","","PrEP unknown",""
"t4.colname.c","Respondents","N","Column %","N","Row %","N","Row %","N","Row %"
"","Whole Sample","","","","","","","",""
"","Negative","2764","77.8","454","16.4","404","14.6","1906","69"
"","Positive","292","8.2","34","11.6","38","13","220","75.3"
"","Unknown","495","13.9","116","23.4","36","7.3","343","69.3"
"","Total","3551","99.9","604","17","478","13.5","2469","69.5"
"","Complete-case","","","","","","","",""
"","Negative","745","92.2","377","50.6","368","49.4","",""
"","Positive","63","7.8","28","44.4","35","55.6","",""
"","Total","808","100","405","50.1","403","49.9","",""
"","Reclassification","","","","","","","",""
"","Negative/Unknown","","","","","","","",""
"","Median","3194","92.8","2568","80.5","625","19.5","",""
"","95% interval","(3149, 3245)","(92, 93.6)","(2412, 2829)","(75.6, 88.4)","(371, 778)","(11.6, 24.4)","",""
"","Positive","","","","","","","",""
"","Median","248","7.2","196","78.6","53","21.4","",""
"","95% interval","(217, 284)","(6.4, 8)","(163, 232)","(70.3, 87.1)","(32, 74)","(12.9, 29.7)","",""
"","Total","","","","","","","",""
"","Median","3439","100","2763","80.4","678","19.6","",""
"","95% interval","(3374, 3528)","(1, 1)","(2589, 3048)","(75.4, 88.3)","(402, 847)","(11.7, 24.6)","",""
