"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"t4.title","Table 4a. HIV-PrEP Sorting - Persistent Partners","","","","","","","",""
"t4.colname.a","","","","Partners","","","","",""
"t4.colname.b","","Total, dyad-level","","No PrEP","","PrEP","","PrEP unknown",""
"t4.colname.c","Respondents","N","Column %","N","Row %","N","Row %","N","Row %"
"","Whole Sample","","","","","","","",""
"","Negative","4504","78.9","2187","48.6","783","17.4","1534","34.1"
"","Positive","502","8.8","150","29.9","123","24.5","229","45.6"
"","Unknown","702","12.3","379","54","54","7.7","269","38.3"
"","Total","5708","100","2716","47.6","960","16.8","2032","35.6"
"","Complete-case","","","","","","","",""
"","Negative","2772","92","2006","72.4","766","27.6","",""
"","Positive","242","8","125","51.7","117","48.3","",""
"","Total","3014","100","2131","70.7","883","29.3","",""
"","Reclassification","","","","","","","",""
"","Negative/Unknown","","","","","","","",""
"","Median","5119","92.2","4156","81.1","970","18.9","",""
"","95% interval","(5056, 5188)","(91.4, 93)","(4020, 4459)","(78.6, 86.6)","(685, 1095)","(13.4, 21.4)","",""
"","Positive","","","","","","","",""
"","Median","433","7.8","302","69.9","129","30.1","",""
"","95% interval","(384, 490)","(7, 8.6)","(261, 360)","(65.5, 78.5)","(95, 154)","(21.5, 34.5)","",""
"","Total","","","","","","","",""
"","Median","5552","100","4462","80.2","1099","19.8","",""
"","95% interval","(5449, 5677)","(1, 1)","(4292, 4822)","(77.7, 86.1)","(777, 1242)","(13.9, 22.3)","",""
