"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"table4b.title","HIV-PrEP Sorting, stratified by partnership type","","","","","","","","","",""
"table4b.title.main","Main Partnerships","Alters","","","","","","","","",""
"table4b.colnames","Egos","No PrEP n","%","PrEP n","%","PrEP Unknown n","%","HIV+ n","%","HIV? n","%"
"","No PrEP","1092","75.2584424534804","97","6.68504479669194","121","8.33907649896623","51","3.51481736733287","90","6.2026188835286"
"","PrEP","145","38.6666666666667","142","37.8666666666667","25","6.66666666666667","44","11.7333333333333","19","5.06666666666667"
"","HIV+","63","26.1410788381743","55","22.8215767634855","12","4.9792531120332","95","39.4190871369295","16","6.63900414937759"
"","HIV?","179","50.997150997151","14","3.98860398860399","35","9.97150997150997","10","2.84900284900285","113","32.1937321937322"
"table4b.title.casual","Casual Partnerships","Alters","","","","","","","","",""
"table4b.colnames","Egos","No PrEP n","%","PrEP n","%","PrEP Unknown n","%","HIV+ n","%","HIV? n","%"
"","No PrEP","928","31.0783657066309","319","10.6831882116544","1022","34.2263898191561","74","2.47823174815807","643","21.5338245144005"
"","PrEP","243","19.6920583468395","315","25.5267423014587","377","30.5510534846029","104","8.42787682333874","195","15.8022690437601"
"","HIV+","90","13.6157337367625","75","11.3464447806354","112","16.9440242057489","175","26.4750378214826","209","31.6187594553707"
"","HIV?","113","19.7207678883072","45","7.85340314136126","151","26.3525305410122","11","1.91972076788831","253","44.1535776614311"
"table4b.title.oneoff","One-off Partnerships","Alters","","","","","","","","",""
"table4b.colnames","Egos","No PrEP n","%","PrEP n","%","PrEP Unknown n","%","HIV+ n","%","HIV? n","%"
"","No PrEP","555","13.7614678899083","292","7.24026779072651","1426","35.3582940738904","60","1.48772625836846","1700","42.1522439871064"
"","PrEP","97","7.31523378582202","221","16.6666666666667","435","32.8054298642534","51","3.84615384615385","522","39.3665158371041"
"","HIV+","36","6.3716814159292","45","7.9646017699115","93","16.4601769911504","97","17.1681415929204","294","52.0353982300885"
"","HIV?","119","11.7938553022795","47","4.65807730426164","325","32.2101090188305","12","1.18929633300297","506","50.1486620416254"
