"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"t4.title","Table 4b. HIV-PrEP Sorting - Casual Partners","","","","","","","",""
"t4.colname.a","","","","Partners","","","","",""
"t4.colname.b","","Total, dyad-level","","No PrEP","","PrEP","","PrEP unknown",""
"t4.colname.c","Respondents","N","Column %","N","Row %","N","Row %","N","Row %"
"","Whole Sample","","","","","","","",""
"","Negative","2953","79.1","1006","34.1","556","18.8","1391","47.1"
"","Positive","375","10","92","24.5","72","19.2","211","56.3"
"","Unknown","405","10.8","142","35.1","42","10.4","221","54.6"
"","Total","3733","99.9","1240","33.2","670","17.9","1823","48.8"
"","Complete-case","","","","","","","",""
"","Negative","1435","91.1","895","62.4","540","37.6","",""
"","Positive","140","8.9","73","52.1","67","47.9","",""
"","Total","1575","100","968","61.5","607","38.5","",""
"","Reclassification","","","","","","","",""
"","Negative/Unknown","","","","","","","",""
"","Median","3274","90.4","2562","78.3","708","21.7","",""
"","95% interval","(3206, 3344)","(89.9, 90.8)","(2481, 2713)","(76.3, 81.8)","(585, 783)","(18.2, 23.7)","",""
"","Positive","","","","","","","",""
"","Median","348","9.6","266","76.3","83","23.7","",""
"","95% interval","(330, 374)","(9.2, 10.1)","(245, 294)","(72.8, 80.9)","(68, 96)","(19.1, 27.2)","",""
"","Total","","","","","","","",""
"","Median","3620","100","2830","78.1","790","21.9","",""
"","95% interval","(3539, 3717)","(1, 1)","(2733, 3005)","(76, 81.7)","(653, 878)","(18.3, 24)","",""
