"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"t4.title","Table 4c. HIV-PrEP Sorting - One-time Partners","","","","","","","",""
"t4.colname.a","","","","Partners","","","","",""
"t4.colname.b","","Total, dyad-level","","No PrEP","","PrEP","","PrEP unknown",""
"t4.colname.c","Respondents","N","Column %","N","Row %","N","Row %","N","Row %"
"","Whole Sample","","","","","","","",""
"","Negative","2764","77.8","454","16.4","404","14.6","1906","69"
"","Positive","292","8.2","34","11.6","38","13","220","75.3"
"","Unknown","495","13.9","116","23.4","36","7.3","343","69.3"
"","Total","3551","99.9","604","17","478","13.5","2469","69.5"
"","Complete-case","","","","","","","",""
"","Negative","745","92.2","377","50.6","368","49.4","",""
"","Positive","63","7.8","28","44.4","35","55.6","",""
"","Total","808","100","405","50.1","403","49.9","",""
"","Reclassification","","","","","","","",""
"","Negative/Unknown","","","","","","","",""
"","Median","3154","92.2","2568","81.4","588","18.6","",""
"","95% interval","(3086, 3242)","(91.8, 92.7)","(2449, 2778)","(77.9, 88.4)","(358, 697)","(11.6, 22.1)","",""
"","Positive","","","","","","","",""
"","Median","266","7.8","214","80.6","51","19.4","",""
"","95% interval","(244, 289)","(7.3, 8.2)","(195, 242)","(75.4, 88.5)","(30, 66)","(11.5, 24.6)","",""
"","Total","","","","","","","",""
"","Median","3419","100","2781","81.3","640","18.7","",""
"","95% interval","(3336, 3528)","(1, 1)","(2648, 3023)","(77.7, 88.4)","(387, 765)","(11.6, 22.3)","",""
