"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"t5.title","Table 5. HIV-PrEP Sorting","","","","","","","",""
"t5.colname.a","","","","Partners","","","","",""
"t5.colname.b","","Total, dyad-level","","No PrEP","","PrEP","","PrEP unknown",""
"t5.colname.c","Respondents","N","Column %","N","Row %","N","Row %","N","Row %"
"","Whole Sample","","","","","","","",""
"","No PrEP","5272","72.5","2188","41.5","583","11.1","2501","47.4"
"","PrEP","1996","27.5","453","22.7","604","30.3","939","47"
"","Total","7268","100","2641","36.3","1187","16.3","3440","47.3"
"","Complete-case","","","","","","","",""
"","No PrEP","2545","72.4","1983","77.9","562","22.1","",""
"","PrEP","972","27.6","400","41.2","572","58.8","",""
"","Total","3517","100","2383","67.8","1134","32.2","",""
"","Reclassification","","","","","","","",""
"","No PrEP","","","","","","","",""
"","Median","6381","76.8","5478","85.8","910","14.2","",""
"","95% interval","(6324, 6451)","(76.5, 77.2)","(5255, 5776)","(82.5, 90.7)","(591, 1122)","(9.3, 17.5)","",""
"","PrEP","","","","","","","",""
"","Median","1930","23.2","1236","64.1","692","35.9","",""
"","95% interval","(1877, 1985)","(22.8, 23.5)","(1126, 1471)","(58.4, 76)","(456, 812)","(24, 41.6)","",""
"","Total","","","","","","","",""
"","Median","8310","100","6711","80.8","1594","19.2","",""
"","95% interval","(8207, 8434)","(1, 1)","(6385, 7271)","(76.8, 87)","(1070, 1931)","(13, 23.2)","",""
