"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"t5.title","Table 5a. HIV-PrEP Sorting - Main Partners","","","","","","","",""
"t5.colname.a","","","","Partners","","","","",""
"t5.colname.b","","Total, dyad-level","","No PrEP","","PrEP","","PrEP unknown",""
"t5.colname.c","Respondents","N","Column %","N","Row %","N","Row %","N","Row %"
"","Whole Sample","","","","","","","",""
"","No PrEP","1250","80.6","1040","83.2","93","7.4","117","9.4"
"","PrEP","301","19.4","141","46.8","134","44.5","26","8.6"
"","Total","1551","100","1181","76.1","227","14.6","143","9.2"
"","Complete-case","","","","","","","",""
"","No PrEP","1074","80.3","982","91.4","92","8.6","",""
"","PrEP","263","19.7","129","49","134","51","",""
"","Total","1337","100","1111","83.1","226","16.9","",""
"","Reclassification","","","","","","","",""
"","No PrEP","","","","","","","",""
"","Median","1534","83.9","1419","92.5","114","7.5","",""
"","95% interval","(1517, 1547)","(83.7, 84.5)","(1399, 1435)","(91.8, 93.1)","(106, 125)","(6.9, 8.2)","",""
"","PrEP","","","","","","","",""
"","Median","294","16.1","156","53.4","137","46.6","",""
"","95% interval","(280, 301)","(15.5, 16.3)","(145, 164)","(50.6, 56)","(127, 145)","(44, 49.4)","",""
"","Total","","","","","","","",""
"","Median","1827","100","1576","86.2","252","13.8","",""
"","95% interval","(1801, 1848)","(1, 1)","(1550, 1598)","(85.4, 87.1)","(235, 267)","(12.9, 14.6)","",""
