"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"t5.title","Table 5a. HIV-PrEP Sorting - One-time Partners","","","","","","","",""
"t5.colname.a","","","","Partners","","","","",""
"t5.colname.b","","Total, dyad-level","","No PrEP","","PrEP","","PrEP unknown",""
"t5.colname.c","Respondents","N","Column %","N","Row %","N","Row %","N","Row %"
"","Whole Sample","","","","","","","",""
"","No PrEP","1998","72.3","370","18.5","225","11.3","1403","70.2"
"","PrEP","766","27.7","84","11","179","23.4","503","65.7"
"","Total","2764","100","454","16.4","404","14.6","1906","69"
"","Complete-case","","","","","","","",""
"","No PrEP","520","69.8","309","59.4","211","40.6","",""
"","PrEP","225","30.2","68","30.2","157","69.8","",""
"","Total","745","100","377","50.6","368","49.4","",""
"","Reclassification","","","","","","","",""
"","No PrEP","","","","","","","",""
"","Median","2455","76.9","2064","84.1","390","15.9","",""
"","95% interval","(2423, 2486)","(76.5, 77.3)","(1951, 2217)","(79.8, 90.4)","(235, 497)","(9.6, 20.2)","",""
"","PrEP","","","","","","","",""
"","Median","738","23.1","508","68.7","232","31.3","",""
"","95% interval","(717, 759)","(22.7, 23.5)","(456, 610)","(62, 82.2)","(130, 279)","(17.8, 38)","",""
"","Total","","","","","","","",""
"","Median","3194","100","2568","80.5","625","19.5","",""
"","95% interval","(3149, 3245)","(1, 1)","(2412, 2829)","(75.6, 88.4)","(371, 778)","(11.6, 24.4)","",""
