"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"t5.title","Table 5a. HIV-PrEP Sorting - Persistent Partners","","","","","","","",""
"t5.colname.a","","","","Partners","","","","",""
"t5.colname.b","","Total, dyad-level","","No PrEP","","PrEP","","PrEP unknown",""
"t5.colname.c","Respondents","N","Column %","N","Row %","N","Row %","N","Row %"
"","Whole Sample","","","","","","","",""
"","No PrEP","3976","76.4","2197","55.3","412","10.4","1367","34.4"
"","PrEP","1230","23.6","369","30","425","34.6","436","35.4"
"","Total","5206","100","2566","49.3","837","16.1","1803","34.6"
"","Complete-case","","","","","","","",""
"","No PrEP","2319","75.6","1918","82.7","401","17.3","",""
"","PrEP","747","24.4","332","44.4","415","55.6","",""
"","Total","3066","100","2250","73.4","816","26.6","",""
"","Reclassification","","","","","","","",""
"","No PrEP","","","","","","","",""
"","Median","3932","76.7","3434","87.3","499","12.7","",""
"","95% interval","(3892, 3971)","(76.4, 77.2)","(3367, 3515)","(85.9, 88.9)","(436, 557)","(11.1, 14.1)","",""
"","PrEP","","","","","","","",""
"","Median","1194","23.3","731","61.3","464","38.7","",""
"","95% interval","(1156, 1227)","(22.8, 23.6)","(686, 781)","(57.9, 64.7)","(415, 502)","(35.3, 42.1)","",""
"","Total","","","","","","","",""
"","Median","5128","100","4167","81.2","964","18.8","",""
"","95% interval","(5053, 5196)","(1, 1)","(4056, 4301)","(79.5, 83.3)","(859, 1053)","(16.7, 20.5)","",""
