"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"t2.title","Table 2c. One-time: HIV and PrEP mixing including unknown values","","","","","","","",""
"t2.colname.a","","","","Partners","","","","",""
"t2.colname.b","","Total, Partnership-level","","HIV negative","","HIV positive","","HIV unknown",""
"t2.colname.c","Respondents","N","Column %","N","Row %","N","Row %","N","Row %"
"","All egos and partners","","","","","","","",""
"","Negative","2835","76.5","1803","63.6","71","2.5","961","33.9"
"","Positive","369","10","129","35","77","20.9","163","44.2"
"","Unknown","502","13.5","277","55.2","7","1.4","218","43.4"
"","Total","3706","100","2209","59.6","155","4.2","1342","36.2"
"t2.colname.d","","Total, partnership-level","","No PrEP","","PrEP","","PrEP unknown",""
"t2.colname.e","Respondents","N","Column %","N","Row %","N","Row %","N","Row %"
"","All egos, partners are HIV negative or unknown","","","","","","","",""
"","Negative","2764","77.8","454","16.4","404","14.6","1906","69"
"","Positive","292","8.2","34","11.6","38","13","220","75.3"
"","Unknown","495","13.9","116","23.4","36","7.3","343","69.3"
"","Total","3551","99.9","604","17","478","13.5","2469","69.5"
"t2.colname.f","","Total, partnership-level","","No PrEP","","PrEP","","PrEP unknown",""
"t2.colname.g","Respondents","N","Column %","N","Row %","N","Row %","N","Row %"
"","Egos & Partners HIV negative or unknown","","","","","","","",""
"","No PrEP","2493","76.5","486","19.5","261","10.5","1746","70"
"","PrEP","766","23.5","84","11","179","23.4","503","65.7"
"","Total","3259","100","570","17.5","440","13.5","2249","69"
