"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"t3.title","Table 3. HIV-HIV Sorting","","","","","","","",""
"t3.colname.a","","","","Partners","","","","",""
"t3.colname.b","","Total, dyad-level","","HIV negative","","HIV positive","","HIV unknown",""
"t3.colname.c","Respondents","N","Column %","N","Row %","N","Row %","N","Row %"
"","Whole Sample","","","","","","","",""
"","Negative","7578","76.4","5687","75","310","4.1","1581","20.9"
"","Positive","1114","11.2","460","41.3","320","28.7","334","30"
"","Unknown","1222","12.3","710","58.1","25","2","487","39.9"
"","Total","9914","99.9","6857","69.2","655","6.6","2402","24.2"
"","Complete-case","","","","","","","",""
"","Negative","5997","88.5","5687","94.8","310","5.2","",""
"","Positive","780","11.5","460","59","320","41","",""
"","Total","6777","100","6147","90.7","630","9.3","",""
"","Reclassification","","","","","","","",""
"","Negative/Unknown","8800","88.8","","","","","",""
"","Median","","","8244","93.7","556","6.3","",""
"","95% interval","","","(8085, 8428)","(91.9, 95.8)","(372, 715)","(4.2, 8.1)","",""
"","Positive","1114","11.2","","","","","",""
"","Median","","","737","66.2","377","33.8","",""
"","95% interval","","","(695, 788)","(62.4, 70.7)","(326, 419)","(29.3, 37.6)","",""
"","Total","9914","100","","","","","",""
"","Median","","","8973","90.5","941","9.5","",""
"","95% interval","","","(8782, 9217)","(88.6, 93)","(697, 1132)","(7, 11.4)","",""
