"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"t3.title","Table 3b. HIV-HIV Sorting - Casual Partners","","","","","","","",""
"t3.colname.a","","","","Partners","","","","",""
"t3.colname.b","","Total, dyad-level","","HIV negative","","HIV positive","","HIV unknown",""
"t3.colname.c","Respondents","N","Column %","N","Row %","N","Row %","N","Row %"
"","Whole Sample","","","","","","","",""
"","Negative","3106","76.6","2425","78.1","153","4.9","528","17"
"","Positive","534","13.2","219","41","159","29.8","156","29.2"
"","Unknown","413","10.2","236","57.1","8","1.9","169","40.9"
"","Total","4053","100","2880","71.1","320","7.9","853","21"
"","Complete-case","","","","","","","",""
"","Negative","2578","87.2","2425","94.1","153","5.9","",""
"","Positive","378","12.8","219","57.9","159","42.1","",""
"","Total","2956","100","2644","89.4","312","10.6","",""
"","Reclassification","","","","","","","",""
"","Negative/Unknown","3519","86.8","","","","","",""
"","Median","","","3274","93","245","7","",""
"","95% interval","","","(3206, 3344)","(91.1, 95)","(175, 313)","(5, 8.9)","",""
"","Positive","534","13.2","","","","","",""
"","Median","","","348","65.2","186","34.8","",""
"","95% interval","","","(330, 374)","(61.8, 70)","(160, 204)","(30, 38.2)","",""
"","Total","4053","100","","","","","",""
"","Median","","","3620","89.3","433","10.7","",""
"","95% interval","","","(3539, 3717)","(87.3, 91.7)","(336, 514)","(8.3, 12.7)","",""
