"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"t4.title","Table 4. HIV-PrEP Sorting","","","","","","","",""
"t4.colname.a","","","","Partners","","","","",""
"t4.colname.b","","Total, dyad-level","","No PrEP","","PrEP","","PrEP unknown",""
"t4.colname.c","Respondents","N","Column %","N","Row %","N","Row %","N","Row %"
"","Whole Sample","","","","","","","",""
"","Negative","7268","78.5","2641","36.3","1187","16.3","3440","47.3"
"","Positive","794","8.6","184","23.2","161","20.3","449","56.5"
"","Unknown","1197","12.9","495","41.4","90","7.5","612","51.1"
"","Total","9259","100","3320","35.9","1438","15.5","4501","48.6"
"","Complete-case","","","","","","","",""
"","Negative","3517","92","2383","67.8","1134","32.2","",""
"","Positive","305","8","153","50.2","152","49.8","",""
"","Total","3822","100","2536","66.4","1286","33.6","",""
"","Reclassification","","","","","","","",""
"","Negative/Unknown","","","","","","","",""
"","Median","8244","91.8","6678","80.9","1571","19.1","",""
"","95% interval","(8085, 8428)","(91.4, 92.1)","(6452, 7076)","(78.7, 84.8)","(1243, 1768)","(15.2, 21.3)","",""
"","Positive","","","","","","","",""
"","Median","737","8.2","551","74.8","185","25.2","",""
"","95% interval","(695, 788)","(7.9, 8.6)","(516, 608)","(71.3, 79)","(153, 214)","(21, 28.7)","",""
"","Total","","","","","","","",""
"","Median","8973","100","7228","80.4","1760","19.6","",""
"","95% interval","(8782, 9217)","(1, 1)","(6976, 7683)","(78.1, 84.3)","(1397, 1984)","(15.7, 21.9)","",""
