"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"t4.title","Table 4a. HIV-PrEP Sorting - Main Partners","","","","","","","",""
"t4.colname.a","","","","Partners","","","","",""
"t4.colname.b","","Total, dyad-level","","No PrEP","","PrEP","","PrEP unknown",""
"t4.colname.c","Respondents","N","Column %","N","Row %","N","Row %","N","Row %"
"","Whole Sample","","","","","","","",""
"","Negative","1551","78.5","1181","76.1","227","14.6","143","9.2"
"","Positive","127","6.4","58","45.7","51","40.2","18","14.2"
"","Unknown","297","15","237","79.8","12","4","48","16.2"
"","Total","1975","99.9","1476","74.7","290","14.7","209","10.6"
"","Complete-case","","","","","","","",""
"","Negative","1337","92.9","1111","83.1","226","16.9","",""
"","Positive","102","7.1","52","51","50","49","",""
"","Total","1439","100","1163","80.8","276","19.2","",""
"","Reclassification","","","","","","","",""
"","Negative/Unknown","","","","","","","",""
"","Median","1821","93.6","1543","84.9","276","15.1","",""
"","95% interval","(1793, 1846)","(93.4, 94)","(1507, 1580)","(83.4, 86.1)","(253, 304)","(13.9, 16.6)","",""
"","Positive","","","","","","","",""
"","Median","123","6.4","72","58.2","51","41.8","",""
"","95% interval","(116, 130)","(6, 6.6)","(66, 78)","(54.5, 61.4)","(46, 56)","(38.6, 45.5)","",""
"","Total","","","","","","","",""
"","Median","1944","100","1616","83.2","327","16.8","",""
"","95% interval","(1912, 1975)","(1, 1)","(1578, 1656)","(81.7, 84.4)","(302, 359)","(15.6, 18.3)","",""
