"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"t5.title","Table 5. HIV-PrEP Sorting","","","","","","","",""
"t5.colname.a","","","","Partners","","","","",""
"t5.colname.b","","Total, dyad-level","","No PrEP","","PrEP","","PrEP unknown",""
"t5.colname.c","Respondents","N","Column %","N","Row %","N","Row %","N","Row %"
"","Whole Sample","","","","","","","",""
"","No PrEP","6469","76.4","2683","41.5","673","10.4","3113","48.1"
"","PrEP","1996","23.6","453","22.7","604","30.3","939","47"
"","Total","8465","100","3136","37","1277","15.1","4052","47.9"
"","Complete-case","","","","","","","",""
"","No PrEP","2944","75.2","2300","78.1","644","21.9","",""
"","PrEP","972","24.8","400","41.2","572","58.8","",""
"","Total","3916","100","2700","68.9","1216","31.1","",""
"","Reclassification","","","","","","","",""
"","No PrEP","","","","","","","",""
"","Median","6318","76.6","5414","85.7","904","14.3","",""
"","95% interval","(6211, 6441)","(76.4, 76.9)","(5248, 5666)","(83.4, 88.6)","(716, 1052)","(11.4, 16.6)","",""
"","PrEP","","","","","","","",""
"","Median","1928","23.4","1264","65.5","666","34.5","",""
"","95% interval","(1875, 1986)","(23.1, 23.6)","(1195, 1402)","(62.7, 72.5)","(525, 726)","(27.5, 37.3)","",""
"","Total","","","","","","","",""
"","Median","8244","100","6678","80.9","1571","19.1","",""
"","95% interval","(8085, 8428)","(1, 1)","(6452, 7076)","(78.7, 84.8)","(1243, 1768)","(15.2, 21.3)","",""
