"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"t5.title","Table 5a. HIV-PrEP Sorting - Main Partners","","","","","","","",""
"t5.colname.a","","","","Partners","","","","",""
"t5.colname.b","","Total, dyad-level","","No PrEP","","PrEP","","PrEP unknown",""
"t5.colname.c","Respondents","N","Column %","N","Row %","N","Row %","N","Row %"
"","Whole Sample","","","","","","","",""
"","No PrEP","1547","83.7","1277","82.5","105","6.8","165","10.7"
"","PrEP","301","16.3","141","46.8","134","44.5","26","8.6"
"","Total","1848","100","1418","76.7","239","12.9","191","10.3"
"","Complete-case","","","","","","","",""
"","No PrEP","1242","82.5","1138","91.6","104","8.4","",""
"","PrEP","263","17.5","129","49","134","51","",""
"","Total","1505","100","1267","84.2","238","15.8","",""
"","Reclassification","","","","","","","",""
"","No PrEP","","","","","","","",""
"","Median","1526","83.8","1386","90.9","139","9.1","",""
"","95% interval","(1504, 1546)","(83.6, 84.1)","(1356, 1416)","(89.3, 92.2)","(119, 164)","(7.8, 10.7)","",""
"","PrEP","","","","","","","",""
"","Median","295","16.2","158","53.8","136","46.2","",""
"","95% interval","(286, 302)","(15.9, 16.4)","(149, 166)","(50.9, 56)","(128, 144)","(44, 49.1)","",""
"","Total","","","","","","","",""
"","Median","1821","100","1543","84.9","276","15.1","",""
"","95% interval","(1793, 1846)","(1, 1)","(1507, 1580)","(83.4, 86.1)","(253, 304)","(13.9, 16.6)","",""
