"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"t5.title","Table 5b. HIV-PrEP Sorting - Casual Partners","","","","","","","",""
"t5.colname.a","","","","Partners","","","","",""
"t5.colname.b","","Total, dyad-level","","No PrEP","","PrEP","","PrEP unknown",""
"t5.colname.c","Respondents","N","Column %","N","Row %","N","Row %","N","Row %"
"","Whole Sample","","","","","","","",""
"","No PrEP","2429","72.3","920","37.9","307","12.6","1202","49.5"
"","PrEP","929","27.7","228","24.5","291","31.3","410","44.1"
"","Total","3358","100","1148","34.2","598","17.8","1612","48"
"","Complete-case","","","","","","","",""
"","No PrEP","1077","69","780","72.4","297","27.6","",""
"","PrEP","484","31","203","41.9","281","58.1","",""
"","Total","1561","100","983","63","578","37","",""
"","Reclassification","","","","","","","",""
"","No PrEP","","","","","","","",""
"","Median","2372","72.4","1978","83.5","391","16.5","",""
"","95% interval","(2323, 2417)","(72.2, 72.7)","(1921, 2075)","(81.5, 86.4)","(320, 444)","(13.6, 18.5)","",""
"","PrEP","","","","","","","",""
"","Median","902","27.6","584","64.8","317","35.2","",""
"","95% interval","(880, 926)","(27.3, 27.8)","(556, 641)","(61.7, 70.4)","(263, 349)","(29.6, 38.3)","",""
"","Total","","","","","","","",""
"","Median","3274","100","2562","78.3","708","21.7","",""
"","95% interval","(3206, 3344)","(1, 1)","(2481, 2713)","(76.3, 81.8)","(585, 783)","(18.2, 23.7)","",""
