"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"t5.title","Table 5c. HIV-PrEP Sorting - One-time Partners","","","","","","","",""
"t5.colname.a","","","","Partners","","","","",""
"t5.colname.b","","Total, dyad-level","","No PrEP","","PrEP","","PrEP unknown",""
"t5.colname.c","Respondents","N","Column %","N","Row %","N","Row %","N","Row %"
"","Whole Sample","","","","","","","",""
"","No PrEP","2493","76.5","486","19.5","261","10.5","1746","70"
"","PrEP","766","23.5","84","11","179","23.4","503","65.7"
"","Total","3259","100","570","17.5","440","13.5","2249","69"
"","Complete-case","","","","","","","",""
"","No PrEP","625","73.5","382","61.1","243","38.9","",""
"","PrEP","225","26.5","68","30.2","157","69.8","",""
"","Total","850","100","450","52.9","400","47.1","",""
"","Reclassification","","","","","","","",""
"","No PrEP","","","","","","","",""
"","Median","2422","76.8","2047","84.5","373","15.5","",""
"","95% interval","(2376, 2482)","(76.4, 77.2)","(1964, 2175)","(81.1, 90.2)","(234, 460)","(9.8, 18.9)","",""
"","PrEP","","","","","","","",""
"","Median","733","23.2","520","70.9","213","29.1","",""
"","95% interval","(705, 761)","(22.8, 23.6)","(481, 614)","(66.8, 82.8)","(123, 244)","(17.2, 33.2)","",""
"","Total","","","","","","","",""
"","Median","3154","100","2568","81.4","588","18.6","",""
"","95% interval","(3086, 3242)","(1, 1)","(2449, 2778)","(77.9, 88.4)","(358, 697)","(11.6, 22.1)","",""
