"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"table2b.title","HIV Serosorting, stratified by partnership type, crude ARTnet data","","","","","","","",""
"table2b.title.main","Main Partnerships","","","Alters","","","","",""
"table2b.colnames","Egos","Total N","%","Negative n","%","Positive n","%","Unknown n","%"
"","Negative","2014","77.4615384615385","1783","88.5302879841112","109","5.41211519364449","122","6.05759682224429"
"","Positive","239","9.19230769230769","128","53.5564853556485","95","39.7489539748954","16","6.69456066945607"
"","Unknown","347","13.3461538461538","227","65.4178674351585","10","2.88184438040346","110","31.700288184438"
"","Total","2600","100","2138","82.2307692307692","214","8.23076923076923","248","9.53846153846154"
"table2b.title.casual","Casual Partnerships","","","Alters","","","","",""
"table2b.colnames","Egos","Total N","%","Negative n","%","Positive n","%","Unknown n","%"
"","Negative","4619","79.5967602963984","3521","76.2286209136177","197","4.26499242260229","901","19.50638666378"
"","Positive","647","11.1494054799242","271","41.8856259659969","173","26.7387944358578","203","31.3755795981453"
"","Unknown","537","9.25383422367741","299","55.6797020484171","10","1.86219739292365","228","42.4581005586592"
"","Total","5803","100","4091","70.4980182664139","380","6.54833706703429","1332","22.9536446665518"
"table2b.title.oneoff","One-off Partnerships","","","Alters","","","","",""
"table2b.colnames","Egos","Total N","%","Negative n","%","Positive n","%","Unknown n","%"
"","Negative","5427","79.2494158878505","3196","58.8907315275474","119","2.19274000368528","2112","38.9165284687673"
"","Positive","501","7.3160046728972","167","33.3333333333333","91","18.1636726546906","243","48.502994011976"
"","Unknown","920","13.4345794392523","463","50.3260869565217","10","1.08695652173913","447","48.5869565217391"
"","Total","6848","100","3826","55.8703271028037","220","3.21261682242991","2802","40.9170560747664"
