"","V1","V2","V3","V4","V5","V6","V7"
"table3b.title","HIV Serosorting, conditional on reporting Negative or Positive stratified by partnership type, crude ARTnet data","","","","","",""
"table3b.title.main","Main Partnerships","","","Alters","","",""
"table3b.colnames","Egos","Total N","%","Negative n","%","Positive n","%"
"","Negative","1892","89.4562647754137","1783","94.2389006342495","109","5.76109936575053"
"","Positive","223","10.5437352245863","128","57.3991031390135","95","42.6008968609865"
"","Total","2115","100","1911","90.354609929078","204","9.64539007092199"
"table3b.title.casual","Casual Partnerships","","","Alters","","",""
"table3b.colnames","Egos","Total N","%","Negative n","%","Positive n","%"
"","Negative","3718","89.3320518981259","3521","94.7014523937601","197","5.29854760623991"
"","Positive","444","10.6679481018741","271","61.036036036036","173","38.963963963964"
"","Total","4162","100","3792","91.1100432484382","370","8.88995675156175"
"table3b.title.oneoff","One-off Partnerships","","","Alters","","",""
"table3b.colnames","Egos","Total N","%","Negative n","%","Positive n","%"
"","Negative","3315","92.7791771620487","3196","96.4102564102564","119","3.58974358974359"
"","Positive","258","7.2208228379513","167","64.7286821705426","91","35.2713178294574"
"","Total","3573","100","3363","94.1225860621327","210","5.87741393786734"
