"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"table4b.title","HIV-PrEP Sorting, stratified by partnership type","","","","","","","","","",""
"table4b.title.main","Main Partnerships","Alters","","","","","","","","",""
"table4b.colnames","Egos","No PrEP n","%","PrEP n","%","PrEP Unknown n","%","HIV+ n","%","HIV? n","%"
"","No PrEP","1087","75.3814147018031","96","6.65742024965326","120","8.32177531206657","51","3.53675450762829","88","6.10263522884882"
"","PrEP","144","38.7096774193548","141","37.9032258064516","24","6.45161290322581","44","11.8279569892473","19","5.10752688172043"
"","HIV+","61","25.5230125523013","55","23.0125523012552","12","5.02092050209205","95","39.7489539748954","16","6.69456066945607"
"","HIV?","178","51.2968299711816","14","4.03458213256484","35","10.0864553314121","10","2.88184438040346","110","31.700288184438"
"table4b.title.casual","Casual Partnerships","Alters","","","","","","","","",""
"table4b.colnames","Egos","No PrEP n","%","PrEP n","%","PrEP Unknown n","%","HIV+ n","%","HIV? n","%"
"","No PrEP","920","31.6477468180255","311","10.6983144134847","993","34.1589267285862","73","2.51117991056072","610","20.983832129343"
"","PrEP","239","19.9832775919732","307","25.6688963210702","362","30.2675585284281","103","8.61204013377926","185","15.4682274247492"
"","HIV+","90","13.9103554868624","74","11.4374034003091","107","16.5378670788253","173","26.7387944358578","203","31.3755795981453"
"","HIV?","111","20.6703910614525","43","8.0074487895717","145","27.0018621973929","10","1.86219739292365","228","42.4581005586592"
"table4b.title.oneoff","One-off Partnerships","Alters","","","","","","","","",""
"table4b.colnames","Egos","No PrEP n","%","PrEP n","%","PrEP Unknown n","%","HIV+ n","%","HIV? n","%"
"","No PrEP","544","14.7826086956522","281","7.63586956521739","1352","36.7391304347826","58","1.57608695652174","1445","39.2663043478261"
"","PrEP","95","8.0168776371308","215","18.1434599156118","398","33.5864978902954","48","4.05063291139241","429","36.2025316455696"
"","HIV+","36","7.18562874251497","42","8.38323353293413","89","17.7644710578842","91","18.1636726546906","243","48.502994011976"
"","HIV?","118","12.8260869565217","41","4.45652173913043","304","33.0434782608696","10","1.08695652173913","447","48.5869565217391"
