"","V1","V2","V3","V4","V5"
"table6b.title","PrEP Sorting among HIV (-), stratified by partnership type","","","",""
"table6b.title.main","Main Partnerships","Alters","","",""
"table6b.colnames","Egos","No PrEP n","%","PrEP n","%"
"","No PrEP","1087","91.8850380388842","96","8.11496196111581"
"","PrEP","144","50.5263157894737","141","49.4736842105263"
"table6b.title.casual","Casual Partnerships","Alters","","",""
"table6b.colnames","Egos","No PrEP n","%","PrEP n","%"
"","No PrEP","920","74.735987002437","311","25.264012997563"
"","PrEP","239","43.7728937728938","307","56.2271062271062"
"table6b.title.oneoff","One-off Partnerships","Alters","","",""
"table6b.colnames","Egos","No PrEP n","%","PrEP n","%"
"","No PrEP","544","65.9393939393939","281","34.0606060606061"
"","PrEP","95","30.6451612903226","215","69.3548387096774"
