"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"t3.title","Table 3. HIV-HIV Sorting","","","","","","","",""
"t3.colname.a","","","","Partners","","","","",""
"t3.colname.b","","Total, dyad-level","","HIV negative","","HIV positive","","HIV unknown",""
"t3.colname.c","Respondents","N","Column %","N","Row %","N","Row %","N","Row %"
"","Whole Sample","","","","","","","",""
"","Negative","7578","76.4","5687","75","310","4.1","1581","20.9"
"","Positive","1114","11.2","460","41.3","320","28.7","334","30"
"","Unknown","1222","12.3","710","58.1","25","2","487","39.9"
"","Total","9914","99.9","6857","69.2","655","6.6","2402","24.2"
"","Complete-case","","","","","","","",""
"","Negative","5997","88.5","5687","94.8","310","5.2","",""
"","Positive","780","11.5","460","59","320","41","",""
"","Total","6777","100","6147","90.7","630","9.3","",""
"","Reclassification","","","","","","","",""
"","Negative/Unknown","8800","88.8","","","","","",""
"","Median","","","8258","93.8","542","6.2","",""
"","95% interval","","","(8116, 8443)","(92.2, 95.9)","(357, 684)","(4.1, 7.8)","",""
"","Positive","1114","11.2","","","","","",""
"","Median","","","740","66.4","374","33.6","",""
"","95% interval","","","(704, 798)","(63.2, 71.6)","(316, 410)","(28.4, 36.8)","",""
"","Total","9914","100","","","","","",""
"","Median","","","9004","90.8","910","9.2","",""
"","95% interval","","","(8842, 9241)","(89.2, 93.2)","(673, 1072)","(6.8, 10.8)","",""
