"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"t3.title","Table 3. HIV-HIV Sorting - Main Partners","","","","","","","",""
"t3.colname.a","","","","Partners","","","","",""
"t3.colname.b","","Total, dyad-level","","HIV negative","","HIV positive","","HIV unknown",""
"t3.colname.c","Respondents","N","Column %","N","Row %","N","Row %","N","Row %"
"","Whole Sample","","","","","","","",""
"","Negative","1637","76","1459","89.1","86","5.3","92","5.6"
"","Positive","211","9.8","112","53.1","84","39.8","15","7.1"
"","Unknown","307","14.2","197","64.2","10","3.3","100","32.6"
"","Total","2155","100","1768","82","180","8.4","207","9.6"
"","Complete-case","","","","","","","",""
"","Negative","1545","88.7","1459","94.4","86","5.6","",""
"","Positive","196","11.3","112","57.1","84","42.9","",""
"","Total","1741","100","1571","90.2","170","9.8","",""
"","Reclassification","","","","","","","",""
"","Negative/Unknown","1944","90.2","","","","","",""
"","Median","","","1823","93.8","121","6.2","",""
"","95% interval","","","(1792, 1848)","(92.2, 95)","(96, 152)","(5, 7.8)","",""
"","Positive","211","9.8","","","","","",""
"","Median","","","124","58.8","87","41.2","",""
"","95% interval","","","(117, 130)","(55.5, 61.6)","(81, 94)","(38.4, 44.5)","",""
"","Total","2155","100","","","","","",""
"","Median","","","1946","90.3","208","9.7","",""
"","95% interval","","","(1914, 1976)","(88.8, 91.7)","(179, 241)","(8.3, 11.2)","",""
