"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"t4.title","Table 4. HIV-PrEP Sorting","","","","","","","",""
"t4.colname.a","","","","Partners","","","","",""
"t4.colname.b","","Total, dyad-level","","No PrEP","","PrEP","","PrEP unknown",""
"t4.colname.c","Respondents","N","Column %","N","Row %","N","Row %","N","Row %"
"","Whole Sample","","","","","","","",""
"","Negative","7268","78.5","2641","36.3","1187","16.3","3440","47.3"
"","Positive","794","8.6","184","23.2","161","20.3","449","56.5"
"","Unknown","1197","12.9","495","41.4","90","7.5","612","51.1"
"","Total","9259","100","3320","35.9","1438","15.5","4501","48.6"
"","Complete-case","","","","","","","",""
"","Negative","3517","92","2383","67.8","1134","32.2","",""
"","Positive","305","8","153","50.2","152","49.8","",""
"","Total","3822","100","2536","66.4","1286","33.6","",""
"","Reclassification","","","","","","","",""
"","Negative/Unknown","","","","","","","",""
"","Median","8258","91.8","6708","81","1575","19","",""
"","95% interval","(8116, 8443)","(91.4, 92.1)","(6481, 7099)","(79.1, 84.8)","(1269, 1735)","(15.2, 20.9)","",""
"","Positive","","","","","","","",""
"","Median","740","8.2","556","74.7","188","25.3","",""
"","95% interval","(704, 798)","(7.9, 8.6)","(518, 612)","(72.2, 79.6)","(153, 208)","(20.4, 27.8)","",""
"","Total","","","","","","","",""
"","Median","9004","100","7261","80.5","1764","19.5","",""
"","95% interval","(8842, 9241)","(1, 1)","(6997, 7704)","(78.6, 84.3)","(1426, 1937)","(15.7, 21.4)","",""
