"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"t4.title","Table 4a. HIV-PrEP Sorting - Casual Partners","","","","","","","",""
"t4.colname.a","","","","Partners","","","","",""
"t4.colname.b","","Total, dyad-level","","No PrEP","","PrEP","","PrEP unknown",""
"t4.colname.c","Respondents","N","Column %","N","Row %","N","Row %","N","Row %"
"","Whole Sample","","","","","","","",""
"","Negative","2953","79.1","1006","34.1","556","18.8","1391","47.1"
"","Positive","375","10","92","24.5","72","19.2","211","56.3"
"","Unknown","405","10.8","142","35.1","42","10.4","221","54.6"
"","Total","3733","99.9","1240","33.2","670","17.9","1823","48.8"
"","Complete-case","","","","","","","",""
"","Negative","1435","91.1","895","62.4","540","37.6","",""
"","Positive","140","8.9","73","52.1","67","47.9","",""
"","Total","1575","100","968","61.5","607","38.5","",""
"","Reclassification","","","","","","","",""
"","Negative/Unknown","","","","","","","",""
"","Median","3278","90.3","2574","78.4","706","21.6","",""
"","95% interval","(3219, 3348)","(89.9, 90.7)","(2492, 2722)","(76.6, 82.5)","(580, 770)","(17.5, 23.4)","",""
"","Positive","","","","","","","",""
"","Median","350","9.7","269","76.1","84","23.9","",""
"","95% interval","(332, 378)","(9.3, 10.1)","(244, 295)","(72.8, 80.9)","(67, 95)","(19.1, 27.2)","",""
"","Total","","","","","","","",""
"","Median","3628","100","2844","78.2","792","21.8","",""
"","95% interval","(3559, 3728)","(1, 1)","(2745, 3013)","(76.3, 82.3)","(649, 859)","(17.7, 23.7)","",""
