"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"t4.title","Table 4a. HIV-PrEP Sorting - Main Partners","","","","","","","",""
"t4.colname.a","","","","Partners","","","","",""
"t4.colname.b","","Total, dyad-level","","No PrEP","","PrEP","","PrEP unknown",""
"t4.colname.c","Respondents","N","Column %","N","Row %","N","Row %","N","Row %"
"","Whole Sample","","","","","","","",""
"","Negative","1551","78.5","1181","76.1","227","14.6","143","9.2"
"","Positive","127","6.4","58","45.7","51","40.2","18","14.2"
"","Unknown","297","15","237","79.8","12","4","48","16.2"
"","Total","1975","99.9","1476","74.7","290","14.7","209","10.6"
"","Complete-case","","","","","","","",""
"","Negative","1337","92.9","1111","83.1","226","16.9","",""
"","Positive","102","7.1","52","51","50","49","",""
"","Total","1439","100","1163","80.8","276","19.2","",""
"","Reclassification","","","","","","","",""
"","Negative/Unknown","","","","","","","",""
"","Median","1823","93.6","1550","85","274","15","",""
"","95% interval","(1792, 1848)","(93.4, 93.9)","(1507, 1580)","(83.5, 86.1)","(253, 302)","(13.9, 16.5)","",""
"","Positive","","","","","","","",""
"","Median","124","6.4","73","58.7","51","41.3","",""
"","95% interval","(117, 130)","(6.1, 6.6)","(67, 78)","(55.6, 61.5)","(46, 56)","(38.5, 44.4)","",""
"","Total","","","","","","","",""
"","Median","1946","100","1623","83.3","326","16.7","",""
"","95% interval","(1914, 1976)","(1, 1)","(1578, 1657)","(81.9, 84.3)","(302, 355)","(15.7, 18.1)","",""
