"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"t4.title","Table 4a. HIV-PrEP Sorting - Persistent Partners","","","","","","","",""
"t4.colname.a","","","","Partners","","","","",""
"t4.colname.b","","Total, dyad-level","","No PrEP","","PrEP","","PrEP unknown",""
"t4.colname.c","Respondents","N","Column %","N","Row %","N","Row %","N","Row %"
"","Whole Sample","","","","","","","",""
"","Negative","4504","78.9","2187","48.6","783","17.4","1534","34.1"
"","Positive","502","8.8","150","29.9","123","24.5","229","45.6"
"","Unknown","702","12.3","379","54","54","7.7","269","38.3"
"","Total","5708","100","2716","47.6","960","16.8","2032","35.6"
"","Complete-case","","","","","","","",""
"","Negative","2772","92","2006","72.4","766","27.6","",""
"","Positive","242","8","125","51.7","117","48.3","",""
"","Total","3014","100","2131","70.7","883","29.3","",""
"","Reclassification","","","","","","","",""
"","Negative/Unknown","","","","","","","",""
"","Median","5104","91.5","4128","80.8","984","19.2","",""
"","95% interval","(5016, 5195)","(91.1, 91.8)","(4002, 4297)","(79.2, 83.2)","(862, 1063)","(16.8, 20.8)","",""
"","Positive","","","","","","","",""
"","Median","476","8.5","340","71.6","136","28.4","",""
"","95% interval","(451, 507)","(8.2, 8.9)","(318, 369)","(68.9, 75.7)","(115, 148)","(24.3, 31.1)","",""
"","Total","","","","","","","",""
"","Median","5576","100","4463","80","1120","20","",""
"","95% interval","(5483, 5704)","(1, 1)","(4323, 4668)","(78.5, 82.5)","(983, 1207)","(17.5, 21.5)","",""
