"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"t5.title","Table 5. HIV-PrEP Sorting","","","","","","","",""
"t5.colname.a","","","","Partners","","","","",""
"t5.colname.b","","Total, dyad-level","","No PrEP","","PrEP","","PrEP unknown",""
"t5.colname.c","Respondents","N","Column %","N","Row %","N","Row %","N","Row %"
"","Whole Sample","","","","","","","",""
"","No PrEP","6469","76.4","2683","41.5","673","10.4","3113","48.1"
"","PrEP","1996","23.6","453","22.7","604","30.3","939","47"
"","Total","8465","100","3136","37","1277","15.1","4052","47.9"
"","Complete-case","","","","","","","",""
"","No PrEP","2944","75.2","2300","78.1","644","21.9","",""
"","PrEP","972","24.8","400","41.2","572","58.8","",""
"","Total","3916","100","2700","68.9","1216","31.1","",""
"","Reclassification","","","","","","","",""
"","No PrEP","","","","","","","",""
"","Median","6325","76.6","5437","85.8","902","14.2","",""
"","95% interval","(6223, 6452)","(76.4, 76.9)","(5272, 5679)","(83.6, 89)","(703, 1039)","(11, 16.4)","",""
"","PrEP","","","","","","","",""
"","Median","1932","23.4","1269","65.4","668","34.6","",""
"","95% interval","(1880, 1992)","(23.1, 23.6)","(1199, 1393)","(63, 72.4)","(531, 720)","(27.6, 37)","",""
"","Total","","","","","","","",""
"","Median","8258","100","6708","81","1575","19","",""
"","95% interval","(8116, 8443)","(1, 1)","(6481, 7099)","(79.1, 84.8)","(1269, 1735)","(15.2, 20.9)","",""
