"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"t5.title","Table 5a. HIV-PrEP Sorting - Casual Partners","","","","","","","",""
"t5.colname.a","","","","Partners","","","","",""
"t5.colname.b","","Total, dyad-level","","No PrEP","","PrEP","","PrEP unknown",""
"t5.colname.c","Respondents","N","Column %","N","Row %","N","Row %","N","Row %"
"","Whole Sample","","","","","","","",""
"","No PrEP","2429","72.3","920","37.9","307","12.6","1202","49.5"
"","PrEP","929","27.7","228","24.5","291","31.3","410","44.1"
"","Total","3358","100","1148","34.2","598","17.8","1612","48"
"","Complete-case","","","","","","","",""
"","No PrEP","1077","69","780","72.4","297","27.6","",""
"","PrEP","484","31","203","41.9","281","58.1","",""
"","Total","1561","100","983","63","578","37","",""
"","Reclassification","","","","","","","",""
"","No PrEP","","","","","","","",""
"","Median","2374","72.4","1986","83.6","390","16.4","",""
"","95% interval","(2330, 2422)","(72.1, 72.8)","(1926, 2078)","(81.5, 85.9)","(337, 442)","(14.1, 18.5)","",""
"","PrEP","","","","","","","",""
"","Median","904","27.6","585","64.9","317","35.1","",""
"","95% interval","(882, 928)","(27.2, 27.9)","(558, 665)","(62.1, 73.3)","(243, 341)","(26.7, 37.9)","",""
"","Total","","","","","","","",""
"","Median","3278","100","2574","78.4","706","21.6","",""
"","95% interval","(3219, 3348)","(1, 1)","(2492, 2722)","(76.6, 82.5)","(580, 770)","(17.5, 23.4)","",""
