"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"t5.title","Table 5a. HIV-PrEP Sorting - Main Partners","","","","","","","",""
"t5.colname.a","","","","Partners","","","","",""
"t5.colname.b","","Total, dyad-level","","No PrEP","","PrEP","","PrEP unknown",""
"t5.colname.c","Respondents","N","Column %","N","Row %","N","Row %","N","Row %"
"","Whole Sample","","","","","","","",""
"","No PrEP","1547","83.7","1277","82.5","105","6.8","165","10.7"
"","PrEP","301","16.3","141","46.8","134","44.5","26","8.6"
"","Total","1848","100","1418","76.7","239","12.9","191","10.3"
"","Complete-case","","","","","","","",""
"","No PrEP","1242","82.5","1138","91.6","104","8.4","",""
"","PrEP","263","17.5","129","49","134","51","",""
"","Total","1505","100","1267","84.2","238","15.8","",""
"","Reclassification","","","","","","","",""
"","No PrEP","","","","","","","",""
"","Median","1528","83.8","1392","90.9","138","9.1","",""
"","95% interval","(1505, 1547)","(83.5, 84.1)","(1356, 1418)","(89.5, 92.3)","(118, 161)","(7.7, 10.5)","",""
"","PrEP","","","","","","","",""
"","Median","296","16.2","158","53.7","137","46.3","",""
"","95% interval","(285, 303)","(15.9, 16.5)","(149, 166)","(50.9, 55.6)","(130, 144)","(44.4, 49.1)","",""
"","Total","","","","","","","",""
"","Median","1823","100","1550","85","274","15","",""
"","95% interval","(1792, 1848)","(1, 1)","(1507, 1580)","(83.5, 86.1)","(253, 302)","(13.9, 16.5)","",""
