"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"t5.title","Table 5a. HIV-PrEP Sorting - One-time Partners","","","","","","","",""
"t5.colname.a","","","","Partners","","","","",""
"t5.colname.b","","Total, dyad-level","","No PrEP","","PrEP","","PrEP unknown",""
"t5.colname.c","Respondents","N","Column %","N","Row %","N","Row %","N","Row %"
"","Whole Sample","","","","","","","",""
"","No PrEP","2493","76.5","486","19.5","261","10.5","1746","70"
"","PrEP","766","23.5","84","11","179","23.4","503","65.7"
"","Total","3259","100","570","17.5","440","13.5","2249","69"
"","Complete-case","","","","","","","",""
"","No PrEP","625","73.5","382","61.1","243","38.9","",""
"","PrEP","225","26.5","68","30.2","157","69.8","",""
"","Total","850","100","450","52.9","400","47.1","",""
"","Reclassification","","","","","","","",""
"","No PrEP","","","","","","","",""
"","Median","2426","76.7","2056","84.7","370","15.3","",""
"","95% interval","(2383, 2487)","(76.4, 77.2)","(1980, 2179)","(81.7, 89.6)","(252, 446)","(10.4, 18.3)","",""
"","PrEP","","","","","","","",""
"","Median","735","23.3","520","70.9","213","29.1","",""
"","95% interval","(709, 763)","(22.8, 23.6)","(484, 607)","(67.2, 81.9)","(134, 242)","(18.1, 32.8)","",""
"","Total","","","","","","","",""
"","Median","3158","100","2579","81.5","584","18.5","",""
"","95% interval","(3102, 3250)","(1, 1)","(2470, 2781)","(78.4, 87.8)","(384, 681)","(12.2, 21.6)","",""
