"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"t5.title","Table 5a. HIV-PrEP Sorting - Persistent Partners","","","","","","","",""
"t5.colname.a","","","","Partners","","","","",""
"t5.colname.b","","Total, dyad-level","","No PrEP","","PrEP","","PrEP unknown",""
"t5.colname.c","Respondents","N","Column %","N","Row %","N","Row %","N","Row %"
"","Whole Sample","","","","","","","",""
"","No PrEP","3976","76.4","2197","55.3","412","10.4","1367","34.4"
"","PrEP","1230","23.6","369","30","425","34.6","436","35.4"
"","Total","5206","100","2566","49.3","837","16.1","1803","34.6"
"","Complete-case","","","","","","","",""
"","No PrEP","2319","75.6","1918","82.7","401","17.3","",""
"","PrEP","747","24.4","332","44.4","415","55.6","",""
"","Total","3066","100","2250","73.4","816","26.6","",""
"","Reclassification","","","","","","","",""
"","No PrEP","","","","","","","",""
"","Median","3902","76.5","3381","86.4","532","13.6","",""
"","95% interval","(3840, 3969)","(76.3, 76.7)","(3283, 3488)","(85, 88.2)","(465, 587)","(11.8, 15)","",""
"","PrEP","","","","","","","",""
"","Median","1199","23.5","744","62.1","454","37.9","",""
"","95% interval","(1171, 1230)","(23.3, 23.7)","(713, 827)","(59.8, 68.4)","(382, 481)","(31.6, 40.2)","",""
"","Total","","","","","","","",""
"","Median","5104","100","4128","80.8","984","19.2","",""
"","95% interval","(5016, 5195)","(1, 1)","(4002, 4297)","(79.2, 83.2)","(862, 1063)","(16.8, 20.8)","",""
